;name;price
0;"Smartphone Samsung Galaxy A14 64 GB Preto 4G Octa-Core 4GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip";R$ 656,10
1;"Smartphone Samsung Galaxy A14 64 GB Prata 4G Octa-Core 4GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip";R$ 656,10
2;Smartphone Samsung Galaxy A05 128GB Preto 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP;R$ 719,10
3;Smartphone Samsung Galaxy A03 Core 32GB Verde Octa-Core 4G 2GB RAM 6,5” Câm. 8MP + Selfie 5MP;R$ 494,10
4;Smartphone Samsung Galaxy A03 Core 32GB Preto Octa-Core 4G 2GB RAM 6,5” Câm. 8MP + Selfie 5MP;R$ 494,10
5;Smartphone Samsung Galaxy A05 128GB Prata 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP;R$ 719,10
6;Smartphone Samsung Galaxy A04e, 64GB, 3GB RAM, Octa Core, Câmera Dupla 13MP, Tela de 6.5, Preto - SM-A042MZKPZTO;R$ 598,49
7;Smartphone Positivo Twist 4 Fit 32GB Preto 3G Quad-Core 1GB RAM Tela 5” Câm. 8MP + Selfie 5MP;R$ 269,10
8;"Smartphone Motorola Moto G14 128GB Grafite 4G Octa-Core 4 GB RAM 6,5"" Câm. Dupla + Selfie 8MP Dual Nano SIM";R$ 764,10
9;Smartphone Positivo Twist 4 Fit 32GB Vermelho 3G Quad-Core 1GB RAM Tela 5” Câm. 8MP + Selfie 5MP;R$ 269,10
10;"Smartphone Samsung Galaxy A14 128GB Preto 5G Octa-Core 4GB RAM 6,6"" Câm. Tripla + Selfie 13MP";R$ 899,10
11;"Smartphone Samsung Galaxy A14 128GB Prata 5G Octa-Core 4GB RAM 6,6"" Câm. Tripla + Selfie 13MP";R$ 899,10
12;"Smartphone Samsung Galaxy A14 128GB Preto 4G Octa-Core 4GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip";R$ 809,10
13;"Smartphone Samsung Galaxy A14 128GB Verde Lima 4G Octa-Core 4GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip";R$ 809,10
14;"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";R$ 1.299,00
